name,description,price,compare_price,stock,is_active
Liver Detox Supplement,Natural liver detox supplement for optimal liver function.,2500,3200,50,True
Kidney Support Complex,Supports kidney health and urinary function.,2800,3500,40,True
Lung Health Formula,Respiratory support for healthy lungs.,2200,2800,60,True
Heart Care Plus,Cardiovascular health supplement.,3000,3800,30,True
Digestive Enzyme Blend,Supports healthy digestion and gut health.,1800,2300,45,True
Brain Nootropic Complex,Supports cognitive function and brain health.,3200,4000,25,True
Immune Shield Formula,Boosts immune system and overall health.,2100,2600,55,True
Joint Flex Support,Supports joint health and mobility.,2400,3000,35,True
Skin Radiance Complex,Nourishes skin from within with collagen and antioxidants.,2600,3200,40,True
Energy Booster Capsules,Natural energy supplement for vitality and stamina.,1900,2400,50,True
